fishery_name,week,angler_final,n,total,prop
Baker summer sockeye 2022,2022-07-10,Bank,1,106,0.009433962264150943
Baker summer sockeye 2022,2022-07-10,Boat,105,106,0.9905660377358491
Baker summer sockeye 2022,2022-07-17,Boat,138,138,1
Baker summer sockeye 2022,2022-07-24,Boat,71,71,1
Baker summer sockeye 2022,2022-07-31,Boat,96,96,1
Baker summer sockeye 2022,2022-08-07,Boat,73,73,1
Baker summer sockeye 2022,2022-08-14,Boat,46,46,1
Baker summer sockeye 2022,2022-08-21,Bank,2,30,0.06666666666666667
Baker summer sockeye 2022,2022-08-21,Boat,28,30,0.9333333333333333
Baker summer sockeye 2022,2022-08-28,Bank,1,8,0.125
Baker summer sockeye 2022,2022-08-28,Boat,7,8,0.875
Baker summer sockeye 2023,2023-07-16,Bank,6,202,0.0297029702970297
Baker summer sockeye 2023,2023-07-16,Boat,196,202,0.9702970297029703
Baker summer sockeye 2023,2023-07-23,Bank,2,104,0.019230769230769232
Baker summer sockeye 2023,2023-07-23,Boat,102,104,0.9807692307692307
Baker summer sockeye 2023,2023-07-30,Boat,91,91,1
Baker summer sockeye 2023,2023-08-06,Boat,73,73,1
Baker summer sockeye 2023,2023-08-13,Bank,1,17,0.058823529411764705
Baker summer sockeye 2023,2023-08-13,Boat,16,17,0.9411764705882353
Cascade fall salmon 2021,2021-09-19,Bank,7,7,1
Cascade fall salmon 2021,2021-09-26,Bank,15,15,1
Cascade fall salmon 2021,2021-10-03,Bank,10,10,1
Cascade fall salmon 2021,2021-10-10,Bank,14,14,1
Cascade fall salmon 2021,2021-10-17,Bank,17,17,1
Cascade fall salmon 2021,2021-10-24,Bank,6,6,1
Cascade fall salmon 2021,2021-10-31,Bank,17,17,1
Cascade fall salmon 2021,2021-11-07,Bank,5,5,1
Cascade fall salmon 2021,2021-11-14,Bank,10,10,1
Cascade fall salmon 2021,2021-11-21,Bank,7,7,1
Cascade fall salmon 2021,2021-11-28,Bank,1,1,1
Cascade fall salmon 2022,2022-09-18,Bank,9,9,1
Cascade fall salmon 2022,2022-09-25,Bank,21,21,1
Cascade fall salmon 2022,2022-10-02,Bank,30,30,1
Cascade fall salmon 2022,2022-10-09,Bank,38,38,1
Cascade fall salmon 2022,2022-10-16,Bank,25,25,1
Cascade fall salmon 2022,2022-10-23,Bank,14,14,1
Cascade fall salmon 2022,2022-10-30,Bank,13,13,1
Cascade fall salmon 2022,2022-11-06,Bank,12,12,1
Cascade fall salmon 2022,2022-11-13,Bank,15,15,1
Cascade fall salmon 2022,2022-11-20,Bank,3,3,1
Cascade fall salmon 2022,2022-11-27,Bank,3,3,1
Cascade fall salmon 2023,2023-09-10,Bank,5,5,1
Cascade fall salmon 2023,2023-09-17,Bank,6,6,1
